title,company,location,salary_min,salary_max,category,description,created,redirect_url
Product / Sr. Product Manager - CVD,Jubilant Generics Limited,"Thane, Maharashtra",,,"PR, Advertising & Marketing Jobs","Job description Roles and Responsibilities: Brand Strategy and Communicatio n :Develop and implement brand strategies, design communication plans, and coordinate with agencies for marketing collaterals and campaign sProduct Development :Lead the development of new products from concept to launch. Co",2026-06-13T10:48:58Z,https://www.adzuna.in/land/ad/5762123329?se=JiOcWI1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=5574B7018C42198A18048C00B7E6AF1B585D3ABD
Junior Executive - Irrigation,AsmitA Organic Farms,"Nagpur, Maharashtra",,,Engineering Jobs,"Job Title: Junior Farm Executive – Irrigation Location: Ramtek, Nagpur. (Vidarbha Region) Department: Agriculture / Farm Operations Working Days: 6 days Job Summary :The Junior Farm Executive – Irrigation will be responsible for supporting irrigation planning, execution, and maintenance to ensure op",2026-06-06T07:41:57Z,https://www.adzuna.in/land/ad/5753857155?se=JiOcWI1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=6766EF4BC414A990E7D893B43EB4DBAD6D1B89BC
Principal Technical Consultant,AideWiser SolTek,India,,,IT Jobs,"Experience:  A 4-year bachelor’s degree in Civil/Mechanical Engineering, Computer Science, or a related field from an accredited institution.  5 years of software development experience with any of the Autodesk products, like AutoCAD, Autodesk Civil 3D, Autodesk Plant 3D, ACC(Autodesk Construction",2026-06-01T10:26:27Z,https://www.adzuna.in/land/ad/5747048489?se=JiOcWI1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=8338BB9F6E9DC5F5EB11FC638E4D236181C4DE18
Foreign Exchange Trader,precision wires india ltd,"Mumbai, Maharashtra",,,Admin Jobs,between 2 to 5 years experience in Coordinating /Making/Arranging Foreign Exchange Transactions with Banks,2026-02-23T17:23:37Z,https://www.adzuna.in/land/ad/5642415861?se=JiOcWI1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=C25F7FB89BFB6612116264B17E5124568A369480
Data Engineer,Mancer Consulting Services,"Hyderabad, Telangana",,,IT Jobs,"Responsible for designing, building, and supporting GCP based ecosystems designed for enterprise-wide analysis of structured, semi-structured, and unstructured data. Bring new data sources into GCP, transform and load to databases. Provide technical leadership across Google Cloud Platform (GCP) team",2026-06-10T18:05:27Z,https://www.adzuna.in/land/ad/5758517552?se=JiOcWI1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=6FF85D258F67287D3C9D6EE4E118BA630EAD7D11
Data Scientist,Valiance Solutions,"Bangalore, Karnataka",,,IT Jobs,"About Us: At Valiance, we empower businesses with AI-driven insights and data analytics solutions. Specializing in demand forecasting within retail Industry specific to Apparel and Footwear, CPG domains, we leverage standardized ML models to deliver accurate forecasting outcomes to our clients. We a",2026-05-26T18:09:27Z,https://www.adzuna.in/land/ad/5741247309?se=JiOcWI1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=A30DE7EFA14E0DB4858BC7DFD975A8E4771B94CC
Senior Career Counselor,UNIVO Education,"Noida, Ghaziabad",,,Sales Jobs,"Company Overview: Founded in 2022, UNIVO Education stands as a trailblazer in online higher education, helping universities offer and scale high-quality online degree programs. Our mission aligns with India's vision to elevate the Gross Enrolment Ratio (GER) from 27% to 50% by 2035, contributing to ",2026-06-01T10:27:07Z,https://www.adzuna.in/land/ad/5747049102?se=JiOcWI1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=4D7046AC3DD3B3E72819C284F1F143FC96764049
Senior QE Automation Engineer (Facets  CXP Integration & Interoperability with Playwright / Tosca / Robot Framework),Ascendion,"Bangalore, Karnataka",,,IT Jobs,"The Senior QE Automation Engineer (Facets  CXP Integration & Interoperability with Playwright / Tosca / Robot Framework) will lead quality engineering initiatives for CXP systems, driving test strategy across CRM, IVR, ESB, and interoperability platforms. This role requires deep expertise in API eco",2026-06-10T18:04:42Z,https://www.adzuna.in/land/ad/5758516651?se=JiOcWI1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=B83D35FF942E91E77E5BE6CCF9077B2393BC3F04
Programmer Dev,Persistent Systems,India,,,IT Jobs,"About Position: We are seeking for programmer dev with hands on experience in AWS, bedrock, agentic ai, etc., Role: Programmer Dev Location: All Persistent Locations Experience: 4 to 8 years Job Type: Full Time Employment What You'll Do: Design, develop, test, and maintain cloud native applications ",2026-06-03T16:35:18Z,https://www.adzuna.in/land/ad/5750487443?se=JiOcWI1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=63FB8B1C6E342A26B8A1C8011D1EE30772C97D4B
Order Management - Telecom || Bengaluru Location || US Shifts || WFO,HCLTech,"Bangalore, Karnataka",,,Admin Jobs,HCLTech is hiring for Order Management Telecom Domain || US hours Work from Office Interested candidates please drop in your resume on below Email Subject of Mail - Telecom Resume Id - anku.jain@hcltech.com Total Experience - Relevant Experience in Order Management Telecom Ethernet Experience- Curre,2026-05-22T17:49:45Z,https://www.adzuna.in/land/ad/5737565476?se=JiOcWI1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=6672D13C3F97FD6AC289F96698E3EAD36FE25A08
Senior Manager - Compliance,Hiranandani Financial Services,"Mumbai, Maharashtra",,,Legal Jobs,"Job Responsibilities Regulatory Liaison: Act as the primary point of contact and establish effective communication channels with RBI, SEBI, FIU, MCA/ROC, and stock exchanges. Engage in frequent interaction, dialogue, and correspondence to stay updated on regulatory changes and requirements. RBI Insp",2026-06-09T18:04:57Z,https://www.adzuna.in/land/ad/5757266819?se=JiOcWI1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=9071EF86805F51E6E5E8AF81C226C6BFF1489110
Senior Manager - Electronics (Category),Zepto,"Bangalore, Karnataka",,,Sales Jobs,"Responsibilities, aka, what we’d like you to deliver : 1. Product Assortment: Source and select a wide range of products that align with our category strategy and meet customer demands. 2. Supplier Relationship Management: Establish and nurture strong relationships with suppliers, brands, and manufa",2026-05-27T18:12:11Z,https://www.adzuna.in/land/ad/5742257028?se=JiOcWI1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=6FE0FC993F6C383A2058EB19D549F604B4C2304C
Chartered Accountant,Prowebmatrix,India,,,Accounting & Finance Jobs,"Company Description Prowebmatrix is an international business consulting, legal support, and digital infrastructure company that helps entrepreneurs, investors, and organizations establish and expand their global presence. The company specializes in citizenship and residency programs, international ",2026-06-14T14:47:07Z,https://www.adzuna.in/land/ad/5763491555?se=JiOcWI1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=A7E11454C85ACBE79C10C20D910FBBBB7F5744CB
Product Manager - Respiratory Care,Dräger,"Mumbai, Maharashtra",,,Scientific & QA Jobs,"Who We Are: Dräger manufactures medical and safety technology products. In so doing, we protect, support, and save people's lives around the world in hospitals, with fire departments, emergency services, authorities, and in mining as well as industry. Founded in Lübeck in 1889, Dräger has grown into",2026-06-07T17:44:08Z,https://www.adzuna.in/land/ad/5755465430?se=JiOcWI1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=C4973F29DF78334085677808042C06C90875F025
DB2 DBA (IBM Db2 for z/OS),IPolarity,India,,,IT Jobs,"Work Mode: Remote Notice Period. : 15 to 20 days C2H Position Key Responsibilities Administer, maintain, and optimize IBM Db2 for z/OS databases. Perform performance tuning using EXPLAIN, SQL analysis, catalog reviews, MainView, and Query Monitor. Manage backup, recovery, disaster recovery, and high",2026-06-09T18:05:29Z,https://www.adzuna.in/land/ad/5757267968?se=JiOcWI1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=2D5F66C7CF0F25022EEECF671F7E4FE407A1D0FB
Senior STA Engineer,UST,India,,,Engineering Jobs,"Job Description: Has done timing sign-off including timing margin calculations independently on SOC level. Experience in handling STA of multi-power domain designs STA flow enhancement, abstraction with bottleneck identification Proficient in design margins and SDC constructs TAT reduction in multi-",2026-05-21T17:39:25Z,https://www.adzuna.in/land/ad/5736372715?se=JiOcWI1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=0797274FDB42C9F58491136FBAC0B4D7AE6AED56
Dean– Physiotherapy,Parul University,"Vadodara, Gujarat",,,Admin Jobs,"Dean– Physiotherapy Position Overview Parul University invites applications for the position of Dean– Physiotherapy . The University seeks an experienced academic leader with strong expertise in academics, research, clinical coordination, and administration to lead the Faculty of Physiotherapy towar",2026-05-23T17:55:06Z,https://www.adzuna.in/land/ad/5738778578?se=JiOcWI1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=AFE7DBE79D1F90B8AB8DEFF6F5D3E9377725EAA1
Junior Architect,Sarthak Architects,"Ahmedabad, Gujarat",,,Creative & Design Jobs,"Company Description Sarthak Architects brings over a decade of expertise in creating sustainable, functional, and aesthetically innovative built environments. The firm integrates architectural design with environmental sustainability principles, ensuring projects are financially viable, eco-friendly",2026-05-09T18:30:08Z,https://www.adzuna.in/land/ad/5724224322?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=DDEAFE7D3C74643A091C1AA89267C8E8E7A19B80
Consultant Ayurvedic Doctor,Unhooked.Health,India,,,Healthcare & Nursing Jobs,"Location: Remote Employment Type: Consultant / Part-Time About the Role: We are looking for a qualified and empathetic Ayurvedic Doctor to support individuals in improving their overall health through holistic and natural approaches. The role involves conducting consultations, providing personalised",2026-06-13T18:43:31Z,https://www.adzuna.in/land/ad/5762607948?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=D2860B58CE7C9A364E726AD6B0E989B8CC211552
Academic Director,NatureNurture,"Hyderabad, Telangana",,,Teaching Jobs,"Job Title: Director of Academics If you have previously applied for any role at NatureNurture in the last 18 months, please do not apply again. Company: NatureNurture About Us: NatureNurture is India's premier curriculum design organization, renowned for developing and implementing innovative K-12 c",2026-05-28T18:18:13Z,https://www.adzuna.in/land/ad/5743506545?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=2F1028FFF6552E91286E83F02A5980CB6521F315
Commercial Real Estate Manager (Retail Specialist),QUICK PLACEMENTS,"Mumbai, Maharashtra",,,Sales Jobs,"Company Details : A leading Real Estate Mandate Firm. Job Location: Ghatkopar East, Mumbai Salary Offered: Up To ₹70,000 per month Qualification: Any Graduate Experience: 3 years Working Time: 10:00 AM – 07:00 PM Working Days: Monday to Saturday Roles & Responsibilities Lead and manage the retail/co",2026-06-13T10:51:00Z,https://www.adzuna.in/land/ad/5762129815?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=8ABD3E31A92C2A16ADE5C641B9D1B460FCCE116B
Senior Manager - Enterprise Risk Management & BCM,Marsh,"Mumbai, Maharashtra",,,Accounting & Finance Jobs,We are seeking a talented individual to join our Risk Consulting team at Marsh. This role will be based in Mumbai. This is a hybrid role that has a requirement of working at least three days a week in the office. The Risk Consulting practice of IKS for the IMEA region is looking to recruit a Senior ,2026-06-11T21:03:50Z,https://www.adzuna.in/land/ad/5760048683?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=F88B7F8CEAE60ACCE5199A0CF3063A722EA36118
Head of Sales and Business Development,Saleschat,"Mumbai, Maharashtra",,,Sales Jobs,"The Mission At Saleschat.pro, we’re tired of ""dumb"" chatbots and clunky customer experiences. We are building the next generation of AI-driven communication tools specifically designed for the high-stakes world of Banking and Insurance. We need a heavy hitter in Mumbai—someone who knows that closing",2026-05-22T01:48:55Z,https://www.adzuna.in/land/ad/5736685981?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=5ADE2FAD7D9096B576D3A235D981559F65E211B3
Inbound Sales Executive,GoKhana,"Bangalore, Karnataka",,,Sales Jobs,"Roles & Responsibilities Lead Management: Handle inbound sales inquiries and leads generated through various channels, including the company website, social media, email campaigns and other marketing efforts. Customer Engagement: Engage with potential customers to understand their needs, provide pro",2026-06-11T21:08:15Z,https://www.adzuna.in/land/ad/5760050199?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=3968A60F2DDB7A647F228E474F5DFEF643199AFC
Senior Admissions Counselor,upGrad,"Patna, Bihar",,,Teaching Jobs,"JOB SCOPE A successful Admission Profiler excels in initiating contact with potential leads, thoroughly qualifying them, and cultivating genuine interest and necessity in upGrad’s programs and offerings. As an Admission Profiler you will serve as the vital link between upGrad’s potential learners an",2026-06-13T10:48:42Z,https://www.adzuna.in/land/ad/5762122129?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=8D6FE412F39C468893F2D9677CD17917F47C58FE
Customer Success Manager,Sakon,India,,,Customer Services Jobs,"We’re Hiring | Customer Success Manager (CSM) | Pune | Hybrid Sakon is looking for an experienced and customer-focused professional to join our team as a Customer Success Manager (CSM) . If you are passionate about customer engagement, SaaS solutions, strategic relationship management, and driving m",2026-05-30T08:29:51Z,https://www.adzuna.in/land/ad/5745167222?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=A6A698E14494AB391FD99A0BFFD0F6D46262325A
Production Support Specialist,GlobalHunt,India,,,IT Jobs,"About the Role We are looking for an experienced AVP – Production Support to lead L1/L2 support operations for critical Market Operations and Collateral Management platforms. The role will be responsible for ensuring platform stability, incident management, batch processing governance, and operation",2026-06-04T16:50:30Z,https://www.adzuna.in/land/ad/5751935159?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=4BFCD718CC6C1D40A0BC22A02195E49751AAABDB
Sales Executive,Degefy Marketing Pvt Ltd,"Hyderabad, Telangana",,,Sales Jobs,"We’re Hiring: Sales Executive – Digital Marketing Agency – Healthcare Clients (B2B) Begumpet, Hyderabad Work from Office (Mon–Fri) | Alternate Saturdays WFH ₹30,000 – ₹50,000  Incentives ⚠️ This is a SALES role, not a digital marketing execution role You will: ✅ Speak with doctors & clinic owners ✅ ",2026-05-30T14:32:25Z,https://www.adzuna.in/land/ad/5745440336?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=10CE746C8FDD68EA72F83277A93AA9381682F406
Internal Audit Associate,Krishna Jewellers Pearls and Gems Private Limited,"Hyderabad, Telangana",,,Accounting & Finance Jobs,Audit Associate – Job Description (Fresher) Location: Hyderabad Job Overview: We are looking for a motivated and detail-oriented Audit Associate (Fresher) to support our finance and accounting operations. This is an excellent opportunity for recent graduates to gain hands-on experience in financial ,2026-05-22T17:52:19Z,https://www.adzuna.in/land/ad/5737576582?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=14B628B1EA11088515AF147BD6603DEA56D13B6E
"Recruitment Entrepreneurs - Data, AI & Analytics - Commission Only - 100% Remote",datavruti,India,,,Sales Jobs,"Inviting Expression of Interest: Who: Recruitment Entrepreneurs Focus: Data, AI & Analytics Mode: Commission Only Type: 100% Remote, India Please read this carefully before you express interest: We are ONLY looking to partner with recruiters who either already operate in this niche or are genuinely ",2026-06-14T14:46:02Z,https://www.adzuna.in/land/ad/5763490831?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=FB9511875996C8EBBFD0F5871F47FF7EED8B49BA
Tech Lead – LYKSTAGE,LYKSTAGE,"Bangalore, Karnataka",,,IT Jobs,"Role Overview We are looking for a highly skilled and experienced Tech Lead to drive the architecture, design, and execution of key projects within the LYKSTAGE platform. This role requires a strong combination of technical expertise, leadership, hands-on development, and collaboration with business",2026-06-13T10:51:46Z,https://www.adzuna.in/land/ad/5762132269?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=58D7F4FF3BDD6F3FEB76AE761E54665F7D8F9DA8
DVP - Family Office,Yubi Markets,"Hyderabad, Telangana",,,Accounting & Finance Jobs,"Yubi Markets is a wholly-owned subsidiary of Yubi Group, India’s pioneering and largest debt platform. We stand at the forefront of enterprise finance and wealth distribution, creating a unified and powerful ecosystem for capital. At our core, we provide comprehensive enterprise finance solutions in",2026-06-14T14:47:10Z,https://www.adzuna.in/land/ad/5763491609?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=F89320A7904D7930E3EEA0A453FCD32E7DEC73B6
Sr. UI Engineer,InRhythm,"Bangalore, Karnataka",,,IT Jobs,Overall 7 years of strong knowledge and hands-on experience in React and Typescript at an enterprise level and in building functional and effective platforms Performance aware engineer and good understanding of build tooling Design and implement scalable frontend architectures Enforces clear archite,2026-04-26T18:26:40Z,https://www.adzuna.in/land/ad/5711045932?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=214A01910FD9E4C5EE3E7B7367816FC7405BE6E8
Structural Steel Detailer (Tekla Structures),Square Steel Building Frames,"Surat, Gujarat",,,Engineering Jobs," Hiring: Structural Steel Detailer (Tekla Structures)  Surat, Gujarat, India ️ Projects: Residential & Commercial (Australia)  Software: Tekla Structures ( Mandatory ) Square Steel Pty Ltd is looking for an experienced Structural Steel Detailer to join our growing team.  Requirements: 2 years experi",2026-05-22T17:53:27Z,https://www.adzuna.in/land/ad/5737583154?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=27574F46D7A4018D336EBD377DF3ED76A9F45567
Programmatic Executive (2-4 Years/DV360&TTD),Omnicom Global Solutions,India,,,"PR, Advertising & Marketing Jobs","Notice Period: 15-60 Days Location : Pune Experienc e: 2-4 yea rs Skill s: DV360/TTD - having end to end campaign knowledge, DEALS,RTB About the role This exciting role requires you to creatively manage digital media campaigns for our global brands. Your expertise of ad tech and knowledge of the Dig",2026-06-06T07:39:01Z,https://www.adzuna.in/land/ad/5753854264?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=0DB3AE5F563170157B8025C74BC0F40A95944AC6
Textile Designer,V-WEAVE,"Panipat, Haryana",,,Creative & Design Jobs,"Senior Textile Designer – Woven Textiles & Rugs V-Weave | Panipat, Haryana | Full-Time | On-Site About V-Weave V-Weave is a design-led manufacturer of contemporary home textiles crafted on traditional handlooms. Based in Panipat, our family business has worked with skilled artisans for over seven de",2026-03-19T00:22:26Z,https://www.adzuna.in/land/ad/5670913957?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=B61F8DAC40B571D3E2F9414ED975AAC04AD1B80D
Sales Officer,Ghar Soaps,"Maharashtra, India",,,Sales Jobs,"Role: Sales Officer Job Location: Mumbai, Pune, Nagpur, Mangalore, Hubli, Ahmedabad, Surat, Jaipur, Madhya Pradesh Reporting To: Area Sales Manager (ASM) Department: Sales & Distribution Industry: Beauty & Personal Care (BPC) / FMCG / Retail Role Purpose : The Sales Officer will be responsible for d",2026-06-10T18:04:40Z,https://www.adzuna.in/land/ad/5758516577?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=77A64F01E5ADA1ABFD7FB0E289BC8F3BB129961A
Staff Level II Accountant - 1040 HNI- Tax,Withum,"Bangalore, Karnataka",,,Accounting & Finance Jobs,Withum is a place where talent thrives - where who you are matters. It’s a place of endless opportunities for growth. A place where entrepreneurial energy plus inclusive teamwork equals exponential results. Withum empowers clients and our professional staff with innovative tools and solutions to add,2025-09-26T17:14:45Z,https://www.adzuna.in/land/ad/5414842656?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=8EFA3372D26B8DD145D3AF27BAF8001CD2D19A2C
General Manager- Leasing,Krisala Developers,India,,,Consultancy Jobs,"About Krisala Developers Krisala Developers is one of Pune’s fastest-growing real estate developers, known for delivering thoughtfully designed residential and commercial developments. Built on a foundation of quality, innovation, customer-centricity, and timely delivery, Krisala is rapidly expandin",2026-06-13T10:50:58Z,https://www.adzuna.in/land/ad/5762129725?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=58BEA6BDAD417E26DFD26003B289368A342D2634
Site Reliability Engineer - AWS,Luxoft,"Bangalore, Karnataka",,,IT Jobs,"Project Description: Luxoft partner with next-generation digital bank, built from the ground up to deliver seamless, secure, and scalable financial services. Our platform is cloud-native, API-first, and focused on reliability, speed, and security. We are growing fast and looking for top-tier Site Re",2026-05-29T08:19:24Z,https://www.adzuna.in/land/ad/5744178864?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=6D72BEF2F94011A523E66F8C37F8841B36D5D47A
"Guidewire BA - Consultant (Hyderabad, Bengaluru, Pune, Chennai)",Deloitte,"Hyderabad, Telangana",,,Engineering Jobs,"Artificial Intelligence & Engineering AI & Engineering leverages cutting-edge engineering capabilities to help build, deploy, and operate integrated/verticalized sector solutions in software, data, AI, network, and hybrid cloud infrastructure. These insights are powered by engineering for business a",2026-06-11T00:06:34Z,https://www.adzuna.in/land/ad/5758687410?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=7AFB1885271FE89660B399B07A6A08E110094CAD
Senior Sales Development Representative,WSO2,"Bangalore, Karnataka",,,Sales Jobs,"About WSO2 Founded in 2005, WSO2 is the largest independent software vendor providing open source API management, integration, and identity and access management (IAM) to thousands of enterprises in over 90 countries. WSO2's products and platforms—including our next-gen internal developer platform, ",2026-05-20T07:26:33Z,https://www.adzuna.in/land/ad/5734685312?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=177D09C3FF12632DA14CB9308834B509E952D87A
Chartered Accountant,C & D Pharma Pvt Ltd,India,,,Accounting & Finance Jobs,"Location: Mandvi Kutch Gujarat We are looking for a reliable and experienced CA or Accountant who can take care of all our accounting work including full bookkeeping, day-to-day transaction entries, GST filing and returns, income tax matters, bank and party reconciliations, preparing accurate monthl",2026-06-01T16:31:32Z,https://www.adzuna.in/land/ad/5747495187?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=2923EF1D1D00194E075E6401B68F704C862399C5
Informatica Developer,Lorven Technologies Inc.,"Bangalore, Karnataka",,,IT Jobs,"Job Description We are looking for a skilled Informatica Developer to design, develop, and maintain ETL workflows for enterprise data integration projects. The ideal candidate will have experience in Informatica PowerCenter / Cloud , ETL development , SQL , and working with data warehouses or cloud ",2026-05-29T18:24:39Z,https://www.adzuna.in/land/ad/5744639733?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=282F7FA3876866E2CFC1A6C05525DE9EE7E95D65
Group Manager- Corporate Communication,Inventia Healthcare Limited,"Mumbai, Maharashtra",,,"PR, Advertising & Marketing Jobs","Group Manager – Corporate Communication Location: Goregaon, Mumbai Position Overview We are seeking a dynamic and strategic Corporate Communications leader to drive the organization’s communication agenda across internal and external stakeholders. This role will be responsible for shaping and streng",2026-05-28T18:15:42Z,https://www.adzuna.in/land/ad/5743506074?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=178189B89D542EFD58035BAB134674F1465D1EDE
Manager- Programmatic Buying,LS Digital Group,"Navi Mumbai, Maharashtra",,,IT Jobs,"Total Work Experience Required: 4–6 Years Roles & Responsibilities: Build digital marketing roadmap & proposals involving DV360 for clients which includes awareness & acquisition campaigns, remarketing campaigns, app installs and Video branding. Experience of managing App campaigns on DV360 while op",2026-05-29T08:25:51Z,https://www.adzuna.in/land/ad/5744183594?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=E4A72C957BAFCAD5D2F664A57954F9B7D59A6048
"GRC Analyst, ISO 27001 and Information Security Compliance",Script Assist,"Ahmedabad, Gujarat",,,IT Jobs,"Gujarat · Hybrid · Full-time Script Assist is building the operating system for next-generation private healthcare in the UK. We already support tens of thousands of medical cannabis prescriptions every month through a live healthcare SaaS platform used by clinics, doctors, pharmacies and operationa",2026-06-13T10:48:49Z,https://www.adzuna.in/land/ad/5762122655?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=179DD1AEC82681831F454E306737C124F99E7E2D
Mobile Backend Lead,RapidBrains,India,,,IT Jobs,"Mobile Backend Lead (Digital Banking) Location: Remote (Global) Experience: 10 Years (5 years in Leadership/Architecture) Notice Period: Immediate Joiner Preferred Role Overvie wWe are seeking a hands-on Mobile Backend Lea d to architect, secure, and scale the backend ecosystem powering enterprise m",2026-06-05T17:21:11Z,https://www.adzuna.in/land/ad/5753193604?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=36955F03CA2F58A3C2D2ED83A6C01A4E6026CC83
US Non-IT Engineering Recruiter,MSR Technology Group,"Hyderabad, Telangana",,,HR & Recruitment Jobs,Job Title: US Non-IT Engineering Recruiter Location: Hyderabad (Onsite) Shift: US Shift / Night Shift Experience: 2–6 Years Employment Type: Full-Time Job Summary We are looking for an experienced US Non-IT Engineering Recruiter to join our growing recruitment team. The ideal candidate should have h,2026-06-03T16:40:38Z,https://www.adzuna.in/land/ad/5750498299?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=D606C7B3C45C02DFAD08859E941793E1396DF2F1
Engineering Leaders !,Tecnicas Reunidas,"Chennai, Tamil Nadu",,,Engineering Jobs,We’re Hiring: Engineering Leadership Roles Across Multiple Disciplines ! Are you an experienced(18years) engineering professional looking to take the next big step in your career? We are expanding rapidly in India and are actively seeking dynamic leaders across key engineering functions:  Piping  Ci,2026-06-02T16:34:56Z,https://www.adzuna.in/land/ad/5749037541?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=A2D06638BC3C2CF985E9E208A521F35D5C632B3B
Project Manager - Liquid Cooling,Stealth AI Startup,India,,,Engineering Jobs,"Role : Project Manager – Liquid Cooling Projects (Data Centers) Location: Mumbai Experience: 8–15 Years Employment Type: Full-Time We are looking for an experienced Project Manager to lead execution, installation, and commissioning activities for liquid cooling infrastructure projects within data ce",2026-05-23T17:53:07Z,https://www.adzuna.in/land/ad/5738770654?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=5291F4EE26FB7543D898BA72191F70702C61F407
Manager of Influencer Marketing,El Sol Strategic Consultants,"Delhi, India",,,"PR, Advertising & Marketing Jobs","Influencer Marketing at El Sol Strategic Consultants [ESSC] Vision: To have a team lead that thinks and acts like a leader, and is simpatico to El Sol Strategic Consultants' management for the Vision, Values, and Goals. Strategic Leadership & Team Management: • Understand and embody ESSC’s Values, V",2026-06-13T10:48:46Z,https://www.adzuna.in/land/ad/5762122392?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=518AB4CE36C781DD7B42A5E22A09B28657474FC4
Principal Architect,Alegeus,"Bangalore, Karnataka",,,IT Jobs,"About Alegeus Alegeus powers the most configurable platform in consumer-directed healthcare benefits, serving employers, TPAs, and health plans that collectively deliver HSA, FSA, HRA, commuter, lifestyle, and emerging account-based benefits to tens of millions of Americans. Our partners depend on A",2026-06-13T10:48:54Z,https://www.adzuna.in/land/ad/5762123019?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=8A289E7AE869A0CE1F16E26F6C227B1CE6CA6536
Lead Designer,Origin Nutrition,"Chennai, Tamil Nadu",,,Creative & Design Jobs,"About Origin Nutrition Origin Nutrition is a premium plant-based nutrition brand dedicated to creating products that fuel a healthier lifestyle while being kind to the planet. We’re redefining wellness through innovation, quality, and creativity — and we’re looking for a talented Lead Designer to sh",2026-04-01T16:11:30Z,https://www.adzuna.in/land/ad/5685308829?se=qjlGWo1p8RGwYu6IutgTPw&utm_medium=api&utm_source=439bd393&v=59DA998193900C17A85A3DB3FDF5CD941028016E
